Team,Season_Start,Season_End,Rk,Player,Salary
Atlanta Hawks,1990,1991,1,Moses Malone,"$2,406,000"
Atlanta Hawks,1990,1991,2,Dominique Wilkins,"$2,065,000"
Atlanta Hawks,1990,1991,3,Jon Koncak,"$1,550,000"
Atlanta Hawks,1990,1991,4,Doc Rivers,"$895,000"
Atlanta Hawks,1990,1991,5,Rumeal Robinson,"$800,000"
Atlanta Hawks,1990,1991,6,Tim McCormick,"$775,000"
Atlanta Hawks,1990,1991,7,Kevin Willis,"$685,000"
Atlanta Hawks,1990,1991,8,Alexander Volkov,"$650,000"
Atlanta Hawks,1990,1991,9,John Battle,"$590,000"
Atlanta Hawks,1990,1991,10,Sidney Moncrief,"$510,000"
Atlanta Hawks,1990,1991,11,Spud Webb,"$510,000"
Atlanta Hawks,1990,1991,12,Gary Leonard,"$200,000"
Atlanta Hawks,1990,1991,13,Duane Ferrell,"$125,000"
Atlanta Hawks,1991,1992,1,Dominique Wilkins,"$3,100,000"
Atlanta Hawks,1991,1992,2,Jon Koncak,"$2,000,000"
Atlanta Hawks,1991,1992,3,Blair Rasmussen,"$1,558,000"
Atlanta Hawks,1991,1992,4,Rumeal Robinson,"$1,025,000"
Atlanta Hawks,1991,1992,5,Maurice Cheeks,"$1,000,000"
Atlanta Hawks,1991,1992,6,Travis Mays,"$1,000,000"
Atlanta Hawks,1991,1992,7,Stacey Augmon,"$875,000"
Atlanta Hawks,1991,1992,8,Kevin Willis,"$725,000"
Atlanta Hawks,1991,1992,9,Alexander Volkov,"$675,000"
Atlanta Hawks,1991,1992,10,Duane Ferrell,"$500,000"
Atlanta Hawks,1991,1992,11,Rodney Monroe,"$217,000"
Atlanta Hawks,1991,1992,12,Gary Leonard,"$130,000"
Atlanta Hawks,1991,1992,13,Paul Graham,"$125,000"
Atlanta Hawks,1992,1993,1,Dominique Wilkins,"$3,500,000"
Atlanta Hawks,1992,1993,2,Jon Koncak,"$2,450,000"
Atlanta Hawks,1992,1993,3,Kevin Willis,"$2,425,000"
Atlanta Hawks,1992,1993,4,Blair Rasmussen,"$1,988,000"
Atlanta Hawks,1992,1993,5,Roy Hinson,"$1,250,000"
Atlanta Hawks,1992,1993,6,Travis Mays,"$1,200,000"
